method,pattern,space,score,target,issue
org.apache.pdfbox.io.PushBackInputStream.read(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.read(), org.apache.pdfbox.io.PushBackInputStream.peek(), org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(), org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(), org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean), org.apache.pdfbox.pdfparser.BaseParser.readString(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(), org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(), org.apache.pdfbox.pdfparser.BaseParser.readLine(), org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess), org.apache.pdfbox.pdfparser.BaseParser.readString(int)",0.09961838797715326,"org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(), org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(), org.apache.pdfbox.pdfparser.BaseParser.readString(int)","PDFBOX-2893, PDFBOX-2893, PDFBOX-2893"
"org.apache.pdfbox.examples.pdmodel.UsingTextMatrix.doIt(String, String)",,"org.apache.pdfbox.examples.pdmodel.UsingTextMatrix.doIt(String, String)",0.09940343138971622,"org.apache.pdfbox.examples.pdmodel.UsingTextMatrix.doIt(String, String)",PDFBOX-1973
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.appendChild(PDOutlineItem),HotCallee,"org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.appendChild(PDOutlineItem), org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling()",0.0991147349901836,,
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling(),FreqExec,"org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling(), org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.appendChild(PDOutlineItem)",0.0991147349901836,,
"org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.getUserPassword(byte[], byte[], int, long)",,"org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.getUserPassword(byte[], byte[], int, long)",0.09900085942703887,"org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.getUserPassword(byte[], byte[], int, long)",PDFBOX-1973
"org.apache.pdfbox.encryption.PDFEncryption.getUserPassword(byte[], byte[], int, long)",,"org.apache.pdfbox.encryption.PDFEncryption.getUserPassword(byte[], byte[], int, long)",0.09899985039367433,"org.apache.pdfbox.encryption.PDFEncryption.getUserPassword(byte[], byte[], int, long)",PDFBOX-1973
org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(),FreqExec,"org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(), org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(), org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(), org.apache.pdfbox.pdfparser.BaseParser.readString(), org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(), org.apache.pdfbox.pdfparser.PDFParser.parseXrefTable(long), org.apache.pdfbox.pdfparser.BaseParser.readLong(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess), org.apache.pdfbox.pdfparser.PDFParser.parseTrailer(), org.apache.pdfbox.pdfparser.BaseParser.readString(int), org.apache.pdfbox.pdfparser.BaseParser.readInt(), org.apache.pdfbox.pdfparser.PDFParser.parseObject(), org.apache.pdfbox.pdfparser.PDFParser.parse()",0.09829484935271177,"org.apache.pdfbox.pdfparser.BaseParser.readLong(), org.apache.pdfbox.pdfparser.BaseParser.readInt()","PDFBOX-2893, PDFBOX-2893"
org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int),FreqExec,"org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int), org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean)",0.0981797311215908,org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int),PDFBOX-2893
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.prepareDocumentForEncryption(PDDocument),,org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.prepareDocumentForEncryption(PDDocument),0.09810923654771539,org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.prepareDocumentForEncryption(PDDocument),PDFBOX-1973
"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.calculateFixingOffset(long, byte[])",,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.calculateFixingOffset(long, byte[])",0.09785510754473246,,
