method1,method2,method_score1,method_score2
org.apache.pdfbox.cos.COSDictionary.accept(ICOSVisitor),org.apache.pdfbox.cos.COSDictionary.accept(ICOSVisitor),1.7370987698655853e-07,4.0902102040120863e-07
org.apache.pdfbox.cos.COSDocument.accept(ICOSVisitor),org.apache.pdfbox.cos.COSDocument.accept(ICOSVisitor),1.2730068520867523e-06,8.645791790959906e-06
org.apache.pdfbox.pdfwriter.COSWriter.write(COSDocument),org.apache.pdfbox.pdfwriter.COSWriter.write(COSDocument),9.448112740788168e-08,1.3790241356961987e-08
"org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRefInc(COSDocument, long)","org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRefInc(COSDocument, long)",1.2843014036338052e-07,4.963663996440506e-07
"org.apache.pdfbox.pdmodel.PDDocument.addSignatureField(List<PDSignatureField>, SignatureInterface, SignatureOptions)","org.apache.pdfbox.pdmodel.PDDocument.addSignatureField(List<PDSignatureField>, SignatureInterface, SignatureOptions)",8.528213792993658e-10,1.5841650991586582e-08
org.apache.pdfbox.pdmodel.PDDocument.save(String),org.apache.pdfbox.pdmodel.PDDocument.save(String),1.5256419548453622e-05,3.933420836333888e-06
org.apache.pdfbox.pdmodel.PDDocument.save(File),org.apache.pdfbox.pdmodel.PDDocument.save(File),1.7597233313417828e-06,2.6736324147830535e-05
"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface)","org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface)",3.8054944621153055e-16,1.4542139702236819e-08
org.apache.pdfbox.pdmodel.fdf.FDFDocument.save(File),org.apache.pdfbox.pdmodel.fdf.FDFDocument.save(File),2.9016318979934604e-20,1.4609028526798013e-21
org.apache.pdfbox.pdmodel.fdf.FDFDocument.save(String),org.apache.pdfbox.pdmodel.fdf.FDFDocument.save(String),3.112063052710071e-16,1.6526435906305234e-08
org.apache.pdfbox.pdmodel.fdf.FDFDocument.save(OutputStream),org.apache.pdfbox.pdmodel.fdf.FDFDocument.save(OutputStream),8.398431940258833e-08,8.916584572275423e-09
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getTemplateAppearanceStream(),org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getTemplateAppearanceStream(),4.3016764107246195e-16,2.914592373334039e-16
