class,path,package,methods
DataFileWriter,lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,org.apache.avro.file,"DataFileWriter,assertOpen,assertNotOpen,setCodec,setSyncInterval,create,create,create,setFlushOnEveryBlock,isFlushOnEveryBlock,appendTo,appendTo,init,generateSync,setMetaInternal,setMetaInternal,setMeta,isReservedMeta,setMeta,setMeta,append,resetBufferTo,appendEncoded,bufferInUse,writeIfBlockFull,appendAllFrom,writeBlock,sync,flush,fSync,close"
TestNettyServerWithCompression,lang\java\ipc\src\test\java\org\apache\avro\ipc\TestNettyServerWithCompression.java,org.apache.avro.ipc,"initializeServer,initializeTransceiver"
TestNettyServer,lang\java\ipc\src\test\java\org\apache\avro\ipc\TestNettyServer.java,org.apache.avro.ipc,"initializeConnections,initializeServer,initializeTransceiver,tearDownConnections,testRequestResponse,verifyResponse,testOneway,testMixtureOfRequests,testConnectionsCount,createMessage,testBadRequest"
NettyServer,lang\java\ipc\src\main\java\org\apache\avro\ipc\NettyServer.java,org.apache.avro.ipc,"NettyServer,NettyServer,NettyServer,NettyServer,start,close,getPort,join,getNumActiveConnections"
NettyTransceiver,lang\java\ipc\src\main\java\org\apache\avro\ipc\NettyTransceiver.java,org.apache.avro.ipc,"NettyTransceiver,NettyTransceiver,NettyTransceiver,NettyTransceiver,NettyTransceiver,NettyTransceiver,createNettyClientAvroHandler,buildDefaultBootstrapOptions,isChannelReady,getChannel,disconnect,disconnect,lockChannel,unlockChannel,close,close,getRemoteName,transceive,transceive,writeBuffers,writeDataPack,readBuffers,getRemote,isConnected,setRemote"
LogicalType,lang\java\avro\src\main\java\org\apache\avro\LogicalType.java,org.apache.avro,"LogicalType,getName,addToSchema,validate"
TestCaseFinder,lang\java\avro\src\test\java\org\apache\avro\util\TestCaseFinder.java,org.apache.avro.util,"mk,pr,eq"
CaseFinder,lang\java\avro\src\test\java\org\apache\avro\util\CaseFinder.java,org.apache.avro.util,"find,processHereDoc"
TestSpecificErrorBuilder,lang\java\ipc\src\test\java\org\apache\avro\specific\TestSpecificErrorBuilder.java,org.apache.avro.specific,"testSpecificErrorBuilder,attemptToSetNonNullableFieldToNull"
TestDataFile,lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,org.apache.avro,"TestDataFile,codecs,makeFile,runTestsInOrder,testGenericWrite,testGenericRead,testSplits,testSyncDiscovery,testGenericAppend,testReadWithHeader,testSyncInHeader,test12,testFlushCount,testFSync,readFile,main"
MapCollector,lang\java\mapred\src\main\java\org\apache\avro\mapred\MapCollector.java,org.apache.avro.mapred,"MapCollector,collect"
TestCreateRandomFileTool,lang\java\tools\src\test\java\org\apache\avro\tool\TestCreateRandomFileTool.java,org.apache.avro.tool,"run,check,testSimple,testCodec,testStdOut"
RandomData,lang\java\trevni\avro\src\test\java\org\apache\trevni\avro\RandomData.java,org.apache.trevni.avro,"RandomData,iterator,generate,main"
TestUtil,lang\java\trevni\core\src\test\java\org\apache\trevni\TestUtil.java,org.apache.trevni,"getRandomSeed,resetRandomSeed,createRandom,randomBytes,randomString,randomLength,testRandomLength"
CreateRandomFileTool,lang\java\tools\src\main\java\org\apache\avro\tool\CreateRandomFileTool.java,org.apache.avro.tool,"getName,getShortDescription,run"
TestDataFileDeflate,lang\java\avro\src\test\java\org\apache\avro\TestDataFileDeflate.java,org.apache.avro,testWriteAndRead
DatagramTransceiver,lang\java\ipc\src\main\java\org\apache\avro\ipc\DatagramTransceiver.java,org.apache.avro.ipc,"getRemoteName,DatagramTransceiver,DatagramTransceiver,readBuffers,writeBuffers"
AvroAsTextRecordReader,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroAsTextRecordReader.java,org.apache.avro.mapred,"AvroAsTextRecordReader,AvroAsTextRecordReader,createKey,createValue,next,getProgress,getPos,close"
DataFileGetSchemaTool,lang\java\tools\src\main\java\org\apache\avro\tool\DataFileGetSchemaTool.java,org.apache.avro.tool,"getName,getShortDescription,run"
Util,lang\java\tools\src\main\java\org\apache\avro\tool\Util.java,org.apache.avro.tool,"fileOrStdin,fileOrStdout,openFromFS,openFromFS,openSeekableFromFS,createFromFS,close,close,parseSchemaFromFS,getFiles,getFiles,jsonToGenericDatum,datumFromFile,compressionCodecOption,compressionLevelOption,codecFactory,codecFactory"
TestAvroCharSequenceComparator,lang\java\mapred\src\test\java\org\apache\avro\hadoop\util\TestAvroCharSequenceComparator.java,org.apache.avro.hadoop.util,"setup,testCompareString,testCompareUtf8,testCompareUtf8ToString"
AvroCharSequenceComparator,lang\java\mapred\src\main\java\org\apache\avro\hadoop\util\AvroCharSequenceComparator.java,org.apache.avro.hadoop.util,"compare,compareCharSequence,compareCharacter"
TrevniRuntimeException,lang\java\trevni\core\src\main\java\org\apache\trevni\TrevniRuntimeException.java,org.apache.trevni,"TrevniRuntimeException,TrevniRuntimeException,TrevniRuntimeException"
