class path,method name,method arguments,Time,OwnTime,count
test\java\org\apache\ivy\plugins\conflict\LatestConflictManagerTest.java,testIvy388,,339,0,1
src\java\org\apache\ivy\ant\IvyResolve.java,setShowprogress,boolean,0,0,1
src\java\org\apache\ivy\core\resolve\IvyNode.java,clean,,2,0,2195
src\java\org\apache\ivy\util\StringUtils.java,getStackTrace,Exception,33,0,20
test\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorParserTest.java,testBadConfs,,27,0,1
src\java\org\apache\ivy\Ivy14.java,resolve,"URL, String, String[], File, Date, boolean, boolean, boolean, boolean, Filter",7,0,2
src\java\org\apache\ivy\plugins\resolver\IvyRepResolver.java,<init>,,1,0,82
test\java\org\apache\ivy\ant\IvyPublishTest.java,cleanCache,,202,0,14
src\java\org\apache\ivy\util\Configurator.java,setAttribute,"String, String",216,29,13048
src\java\org\apache\ivy\plugins\matcher\AnyMatcher.java,<init>,,0,0,15
test\java\org\apache\ivy\ant\IvyPostResolveTaskTest.java,testInlineWithoutKeep,,339,0,1
src\java\org\apache\ivy\core\sort\CollectionOfModulesToSort.java,size,,0,0,1006
src\java\org\apache\ivy\plugins\repository\url\URLResource.java,getLastModified,,2152,1,1632
test\java\org\apache\ivy\ant\IvyInfoRepositoryTest.java,setUp,,2,0,3
src\java\org\apache\ivy\core\IvyPatternHelper.java,getTokenRoot,String,0,0,43
src\java\org\apache\ivy\core\resolve\ResolveOptions.java,getDefaultResolveId,ModuleId,9,2,467
src\java\org\apache\ivy\core\settings\IvySettings.java,<init>,IvyVariableContainer,21785,163,2420
src\java\org\apache\ivy\Ivy.java,getWorkingRevision,,15,2,958
src\java\org\apache\ivy\plugins\latest\ComparatorLatestStrategy.java,<init>,,0,0,3522
src\java\org\apache\ivy\core\module\descriptor\DefaultExcludeRule.java,toString,,0,0,3
src\java\org\apache\ivy\ant\IvyAntSettings.java,setUsername,String,0,0,2
src\java\org\apache\ivy\core\cache\ArtifactOrigin.java,equals,Object,0,0,6
test\java\org\apache\ivy\ant\IvyCachePathTest.java,<init>,,0,0,9
src\java\org\apache\ivy\util\StringUtils.java,join,"Object[], String",38,11,1818
src\java\org\apache\ivy\core\IvyPatternHelper.java,substituteTokens,"String, Map",8545,1731,58250
src\java\org\apache\ivy\ant\IvyBuildNumber.java,findLastNumber,String,1,0,6
src\java\org\apache\ivy\util\url\HttpClientHandler.java,configureProxy,,15,0,259
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpResource.java,clone,String,0,0,2
src\java\org\apache\ivy\plugins\repository\file\FileRepository.java,delete,File,4,0,3
test\java\org\apache\ivy\ant\AntBuildTriggerTest.java,<init>,,0,0,1
test\java\org\apache\ivy\plugins\conflict\RegexpConflictManagerTest.java,<init>,,0,0,2
src\java\org\apache\ivy\core\settings\IvySettings.java,logResolvedRevision,,0,0,164
