method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
org.apache.avro.AvroRuntimeException.AvroRuntimeException(String),0,275,9,100,1,1,39,2,0,0,0,90,1.0,0.7569060773480663,0.47368421052631576,1.0,1e-13,1e-13,0.5571428571428572,0.047619047619047616,1e-13,1e-13,1e-13,1.208073520042408e-07,0.07559525435691743
org.apache.avro.ipc.SocketTransceiver.readBuffers(),9,214,11,59,20,5,3,9,3,18072,297,56,0.09999999999999998,0.5883977900552486,0.5789473684210527,0.59,0.19387755102040816,0.10526315789473684,0.04285714285714286,0.21428571428571427,0.75,0.06528807387176486,0.0018997665270093069,7.465622876666566e-08,0.07473507695456387
org.apache.avro.file.DataFileWriter.init(OutputStream),1,114,10,34,12,2,10,13,0,5,0,40,0.9,0.31215469613259667,0.5263157894736842,0.34,0.11224489795918367,0.02631578947368421,0.14285714285714285,0.30952380952380953,1e-13,1.8063322784352828e-05,1e-13,5.293805312545383e-08,0.07386927389813037
org.apache.avro.ipc.DatagramTransceiver.readBuffers(),-1,1,0,0,17,3,4,13,1,9960,0,22,1e-13,1e-13,1e-13,1e-13,0.16326530612244897,0.05263157894736842,0.05714285714285714,0.30952380952380953,0.25,0.03598213898643083,1e-13,2.8505105529090524e-08,0.0728204439670611
"org.apache.avro.reflect.ReflectDatumReader.newArray(Object, int, Schema)",9,15,4,5,17,5,5,10,0,0,0,7,0.09999999999999998,0.03867403314917127,0.21052631578947367,0.05,0.16326530612244897,0.10526315789473684,0.07142857142857142,0.23809523809523808,1e-13,1e-13,1e-13,8.144315865454436e-09,0.07225653432809497
"org.apache.avro.io.parsing.Symbol.flatten(Symbol[], int, Symbol[], int, Map<Sequence, Sequence>, Map<Sequence, List>)",1,11,4,6,20,4,11,6,1,368,29,64953,0.9,0.027624309392265192,0.21052631578947367,0.06,0.19387755102040816,0.07894736842105263,0.15714285714285714,0.14285714285714285,0.25,0.001329460556928368,0.00018549908849585826,8.816493401549942e-05,0.07168314762672842
org.apache.avro.tool.Main.Main(),9,7,4,4,22,3,4,10,1,9,0,1,0.09999999999999998,0.016574585635359115,0.21052631578947367,0.04,0.21428571428571427,0.05263157894736842,0.05714285714285714,0.23809523809523808,0.25,3.251398101183509e-05,1e-13,1e-13,0.07026992088855606
org.apache.avro.io.BlockingBinaryEncoder.ensure(int),1,22,5,11,13,4,18,4,1,2,0,1404,0.9,0.058011049723756904,0.2631578947368421,0.11,0.12244897959183673,0.07894736842105263,0.2571428571428571,0.09523809523809523,0.25,7.225329113741131e-06,1e-13,1.9044125265387623e-06,0.06922266893375838
"org.apache.avro.ipc.SocketServer.SocketServer(Responder, SocketAddress)",9,2,1,1,11,1,13,11,0,22,0,22,0.09999999999999998,0.0027624309392265192,0.05263157894736842,0.01,0.10204081632653061,1e-13,0.18571428571428572,0.2619047619047619,1e-13,7.947862025115244e-05,1e-13,2.8505105529090524e-08,0.06870803090997202
"org.apache.avro.reflect.ReflectDatumReader.readString(Object, Schema, Decoder)",9,6,3,2,18,6,7,6,0,0,0,14,0.09999999999999998,0.013812154696132596,0.15789473684210525,0.02,0.17346938775510204,0.13157894736842105,0.1,0.14285714285714285,1e-13,1e-13,1e-13,1.7646017708484612e-08,0.0684881849620634
"org.apache.avro.ipc.stats.StatsServlet.writeMethod(Writer, Message, FloatHistogram<?>)",9,13,5,9,20,2,6,10,1,6,0,2,0.09999999999999998,0.03314917127071823,0.2631578947368421,0.09,0.19387755102040816,0.02631578947368421,0.08571428571428572,0.23809523809523808,0.25,2.1675987341223392e-05,1e-13,1.3573859775757393e-09,0.06800079728153376
org.apache.avro.file.DataFileStream.nextBlock(DataBlock),3,49,11,16,15,3,9,9,0,1066,284,498111,0.7,0.13259668508287292,0.5789473684210527,0.16,0.14285714285714285,0.05263157894736842,0.12857142857142856,0.21428571428571427,1e-13,0.0038511004176240227,0.0018166117632008188,0.0006761275292902515,0.06770863406490732
org.apache.avro.io.JsonDecoder.advance(Symbol),3,41,5,24,6,2,24,5,0,22,4,7885,0.7,0.11049723756906077,0.2631578947368421,0.24,0.05102040816326531,0.02631578947368421,0.34285714285714286,0.11904761904761904,1e-13,7.947862025115244e-05,2.5586081171842518e-05,1.0701631047207129e-05,0.06741145648591385
