id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
221,"org.apache.ivy.plugins.latest.LatestRevisionStrategy.ArtifactInfoComparator.compare(Object, Object)",191,0,0,11,51
222,org.apache.ivy.core.resolve.IvyNodeCallers.Caller.getDependencyDescriptor(),39,6,19,0,0
223,"org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String)",746,15,94,13,49
224,org.apache.ivy.core.settings.IvySettings.isDefaultUseOrigin(),3,2,1,0,0
225,org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.AbstractParser.getMd(),445,12,130,0,0
226,org.apache.ivy.plugins.resolver.DependencyResolver.listRevisions(ModuleEntry),207,16,46,0,0
227,"org.apache.ivy.osgi.updatesite.PluginAdapter.featureAsBundle(URI, EclipseFeature)",50,6,9,3,22
228,"org.apache.ivy.plugins.report.XmlReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",746,15,81,22,46
229,org.apache.ivy.core.module.id.ModuleId.parse(String),4,0,0,2,2
230,org.apache.ivy.core.cache.DefaultResolutionCacheManager.saveResolvedModuleDescriptor(ModuleDescriptor),195,0,0,14,49
231,org.apache.ivy.core.settings.IvySettings.setSettingsVariables(File),75,6,20,7,5
232,"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.UpdaterHandler.processingInstruction(String, String)",4,0,0,3,1
233,"org.apache.ivy.core.settings.IvyVariableContainer.setVariable(String, String, boolean)",211,12,46,0,0
234,org.apache.ivy.plugins.resolver.AbstractResolver.setEventManager(EventManager),7,3,4,0,0
235,org.apache.ivy.core.cache.CacheMetadataOptions.getNamespace(),413,16,91,0,0
236,org.apache.ivy.core.settings.IvySettings.logResolvedRevision(),3,0,0,2,1
237,org.apache.ivy.core.settings.XmlSettingsParser.urlFromFileAttribute(String),43,6,12,0,0
238,org.apache.ivy.plugins.repository.AbstractRepository.fireTransferProgress(long),208,12,47,2,6
239,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.getPatternMatcher(String),41,5,11,1,2
240,"org.apache.ivy.plugins.conflict.LatestCompatibleConflictManager.handleIncompatibleConflict(IvyNode, Collection, IvyNode, IvyNode)",295,7,4,21,42
241,org.apache.ivy.core.sort.ModuleInSort.getDependencies(),36,5,10,1,1
242,"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean)",401,0,0,12,109
243,org.apache.ivy.osgi.repo.BundleRepoDescriptor.populate(Iterator),91,0,0,8,34
244,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.UpdaterHandler.flushAllMergedElements(),30,3,8,4,6
245,"org.apache.ivy.core.search.RevisionEntry.RevisionEntry(ModuleEntry, String)",9,3,5,0,0
246,org.apache.ivy.plugins.resolver.ChainResolver.ResolvedModuleRevisionArtifactInfo.getRevision(),4,0,0,2,2
247,"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findIvyNames(Map, String)",22,4,5,2,5
248,"org.apache.ivy.plugins.repository.sftp.SFTPRepository.get(String, File)",210,0,0,14,44
249,org.apache.ivy.ant.IvyAntSettings.getRealm(),29,6,8,0,0
250,org.apache.ivy.core.resolve.ResolveOptions.setUseCacheOnly(boolean),37,6,19,0,0
251,"org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.AbstractParser.parseDepsConfs(String, DefaultDependencyDescriptor, boolean, boolean)",207,1,1,17,49
252,"org.apache.ivy.ant.IvyDependencyTree.printDependencies(List, int)",311,7,34,19,49
253,"org.apache.ivy.core.pack.OsgiBundlePacking.writeFile(InputStream, File)",4,0,0,2,2
254,org.apache.ivy.osgi.updatesite.xml.EclipseUpdateSiteParser.CategoryHandler.handleAttributes(Attributes),1,0,0,0,0
255,"org.apache.ivy.osgi.obr.xml.Requirement.Requirement(String, OSGiFilter)",31,7,7,0,0
256,org.apache.ivy.core.module.descriptor.Artifact.getConfigurations(),24,3,18,0,0
257,org.apache.ivy.osgi.obr.xml.OBRXMLParser.RepositoryHandler.RepositoryHandler.(Anon_1).childHanlded(ResourceHandler),26,0,0,5,10
258,org.apache.ivy.util.url.URLHandlerDispatcher.getContentLength(URL),3,0,0,1,2
259,org.apache.ivy.core.report.ArtifactDownloadReport.getDownloadDetails(),473,12,102,0,0
260,org.apache.ivy.core.module.descriptor.DefaultExtendsDescriptor.getResolvedParentRevisionId(),2,0,0,1,1
