method,method,invocation counts
"org.apache.xerces.impl.XMLEntityScanner.scanLiteral(int, XMLString)",org.apache.xerces.util.XMLChar.isContent(int),2291412
"org.apache.xerces.impl.XMLEntityScanner.scanLiteral(int, XMLString)","org.apache.xerces.impl.XMLEntityScanner.load(int, boolean)",7217
"org.apache.xerces.impl.XMLEntityScanner.load(int, boolean)","org.apache.xerces.impl.io.UTF8Reader.read(char[], int, int)",47790
"org.apache.xerces.impl.io.UTF8Reader.read(char[], int, int)","org.apache.xerces.impl.XMLEntityManager$RewindableInputStream.read(byte[], int, int)",47790
"org.apache.xerces.impl.XMLEntityManager$RewindableInputStream.read(byte[], int, int)","java.io.ByteArrayInputStream.read(byte[], int, int)",5164
"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)",org.apache.xerces.util.XMLStringBuffer.append(XMLString),266210
org.apache.xerces.util.XMLStringBuffer.append(XMLString),"org.apache.xerces.util.XMLStringBuffer.append(char[], int, int)",293077
"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)",org.apache.xerces.xni.XMLString.setValues(XMLString),216488
"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)",org.apache.xerces.impl.XMLEntityScanner.scanChar(),447059
"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)",org.apache.xerces.impl.XMLScanner.normalizeWhitespace(XMLString),236309
"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)",org.apache.xerces.impl.XMLEntityScanner.peekChar(),211449
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanAttribute(XMLAttributesImpl),org.apache.xerces.xni.XMLString.toString(),342262
org.apache.xerces.xni.XMLString.toString(),"java.lang.String.<init>(char[], int, int)",446543
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanAttribute(XMLAttributesImpl),org.apache.xerces.impl.XMLEntityScanner.scanQName(QName),171131
org.apache.xerces.impl.XMLEntityScanner.scanQName(QName),"org.apache.xerces.util.SymbolTable.addSymbol(char[], int, int)",458261
"org.apache.xerces.util.SymbolTable.addSymbol(char[], int, int)","org.apache.xerces.util.SymbolTable.hash(char[], int, int)",541269
"org.apache.xerces.util.SymbolTable.addSymbol(char[], int, int)","org.apache.xerces.util.SymbolTable$Entry.<init>(char[], int, int, SymbolTable$Entry)",64370
"org.apache.xerces.util.SymbolTable$Entry.<init>(char[], int, int, SymbolTable$Entry)",java.lang.String.intern(),64370
"org.apache.xerces.util.SymbolTable$Entry.<init>(char[], int, int, SymbolTable$Entry)",java.lang.String.<init>(char[]),64370
org.apache.xerces.impl.XMLEntityScanner.scanQName(QName),"org.apache.xerces.impl.XMLEntityScanner.load(int, boolean)",1039
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanAttribute(XMLAttributesImpl),"org.apache.xerces.util.XMLAttributesImpl.addAttributeNS(QName, String, String)",171131
"org.apache.xerces.util.XMLAttributesImpl.addAttributeNS(QName, String, String)",org.apache.xerces.xni.QName.setValues(QName),171131
"org.apache.xerces.util.XMLAttributesImpl.addAttributeNS(QName, String, String)",org.apache.xerces.util.AugmentationsImpl.removeAllItems(),171131
org.apache.xerces.util.AugmentationsImpl.removeAllItems(),org.apache.xerces.util.AugmentationsImpl$SmallContainer.clear(),216770
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanAttribute(XMLAttributesImpl),org.apache.xerces.impl.XMLEntityScanner.skipSpaces(),342262
